"crl.tot","dollar","bang","money","n000","make","yesno"
202,0.162,0,0.33,0,0,"y"
575,0.014,0.098,0.08,0.34,0.17,"y"
19,0,0,0,0,0,"n"
158,0.056,0.225,0,0,0,"y"
118,0,0.824,0,0,0,"y"
753,1.31,5.836,0.09,0,0.09,"y"
62,0,0.186,0,0,0.99,"n"
1,0,0,0,0,0,"n"
47,0,0.225,0,0,0.9,"n"
131,0.121,0.565,0.27,0,0,"y"
17,0,0,0,0,0,"n"
377,0,0,0,0,0,"n"
414,0,0.045,0,0,0,"n"
11,0,0.68,0,0,0,"n"
490,0.223,0.382,0,0.61,0,"y"
30,0,0,0,0,0,"n"
79,0,0.757,0,0,0,"y"
156,0,0,0,0,0,"n"
36,0,0,0,0,0,"n"
25,0,0,0,0,0,"n"
42,0,0,0,0,0,"n"
114,0.527,0.461,0.41,0,1.24,"y"
32,0,0.164,0,0,0,"n"
143,0.159,0,0.32,0,0,"y"
17,0,0,0,0,0,"n"
46,0,0.167,0,0,0,"n"
62,0.61,0.203,0,0,0,"y"
405,0,0.463,0,0,0,"y"
3243,0.672,0.308,0.36,1.09,0.51,"y"
87,0,3.79,0,1.85,0,"y"
55,0,0,0,0,0,"n"
147,0,1.363,0,0,0,"y"
185,0,0.074,0,0,0,"n"
9,0,0,0,0,0,"n"
120,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
50,0.159,0,0,0,0,"n"
92,0,1.836,0,2.7,0,"y"
851,0.406,0.53,0,0,0.2,"y"
72,0,0,0,0,0,"n"
68,0,0,0,0,1.19,"n"
53,0,0.147,0,0,0,"n"
26,0,0.19,0,0,0,"n"
32,0,0,0,0,0,"n"
305,0,0.709,0,0,0,"y"
5,0,0,0,0,0,"n"
53,0,0,0,0,2,"n"
75,0,0.077,0,0,0,"y"
121,0.273,0.456,0,0.62,0.62,"y"
330,0,0,0,0,0,"n"
224,0.146,0.073,0,0,0,"n"
75,0.183,0.612,0.79,1.18,0.39,"y"
51,0,0.277,0,0,0,"n"
72,0.212,0,0,0,0,"y"
2288,0.186,0.262,0.32,0,0.26,"y"
347,0,0,0,0,0,"n"
99,0,0.408,0,0,0,"n"
339,0.094,1.282,0,0,0.28,"y"
3334,0.005,0,0,0,0.03,"n"
44,0,2.695,0,0,0,"y"
15,0,1.098,0,0,0,"n"
102,0.082,0.165,0.58,0,0,"y"
20,0,0,0,0,0,"n"
27,0,0,0,0,0,"n"
1,0,0,0,0,0,"n"
69,0,2.354,0,0,0,"y"
49,0,0,0,0,0,"n"
1345,0.211,0.225,0.08,0.79,0.17,"y"
59,0,0,0,0,0,"n"
313,0.133,0.535,0.85,0,0.85,"y"
59,0,0.166,0,0,0.97,"n"
115,0,1.44,0,0,0,"y"
119,0,0,0,0,0,"y"
47,0,0,0,0,0,"n"
76,0,0,0,0,0,"n"
237,0.206,0.412,0,0.6,0,"y"
3,0,0,0,0,0,"n"
16,0,0.729,0,0,0,"n"
707,0.077,1.132,0.31,0.55,0.07,"y"
41,0,0.45,0.48,0,0,"n"
2426,0.505,0.439,0.54,0.5,0.5,"y"
41,0,0,0,0,0,"n"
116,0,0.413,0,0,0,"n"
94,0.061,0.367,0.35,0.35,1.05,"y"
303,0.108,0,0,0.38,0.19,"n"
43,0,0.311,0,0,0.53,"y"
11,0,0,0,0,0,"n"
144,0,0,0,0,0,"n"
391,0.176,0.392,0.22,0,0.33,"y"
69,0,0,0,0,0,"n"
74,0,0,0,0,0.44,"n"
50,0,0,0,0,0,"n"
199,0.142,0.19,0.6,0,0,"y"
10,0,0,0,0,0,"n"
31,0,0,0,0,0,"n"
69,0,6.387,0,0,0,"n"
11,0,0,0,0,0,"n"
95,0.063,0.381,0.35,0.35,1.06,"y"
8,0,0,0,0,0,"n"
2184,0.585,0.438,0.46,0.38,0.42,"y"
11,0,0,0,0,0,"n"
155,0,0,0,0,0,"n"
172,0,0,0,0,0.36,"n"
6,0,0,0,0,0,"n"
937,0.174,0.174,0,0.51,0,"y"
72,0.23,0.23,0,0,0,"y"
43,0,0,0,0,0,"n"
1351,0.158,0.49,0.1,0.6,0.1,"y"
130,0,0.123,0,0,0,"n"
13,0,0,0,0,0,"n"
72,0.42,0.105,0,1.78,0,"y"
214,0,0.099,0,0,0,"n"
6,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
23,0.135,0.135,0.37,0,0,"n"
261,0,0.199,0,0.41,0,"y"
159,0.063,0,0,0,0,"y"
517,0,0,0,0,0.54,"n"
81,0,0,0,0,0,"n"
149,0,0.29,0,0,0,"y"
98,0,0,0,0,0,"n"
138,0,0.055,0,0,0,"n"
267,0.046,0,0,0,0.09,"n"
641,0.125,0,0,0.09,0,"n"
29,0,1.194,0,0,0,"n"
30,0.246,0,0,0,0,"n"
51,0,0,0,0.56,0,"y"
189,0.04,0,0,0.23,0,"y"
79,0,0.236,0,0,0,"y"
20,0,0,0,0,0,"y"
191,0,0,0,0,0,"n"
173,0.932,0.435,0,1.47,0,"y"
44,0,0.291,0,0,0,"y"
201,0.141,0.189,0.6,0,0,"y"
91,0,0,0,0,0,"n"
203,0,0,0,0,0,"n"
8,0,0.383,0,0,0,"n"
1458,0.155,0.326,0.19,0.39,0.09,"y"
22,0,0,0,0,0,"n"
1038,0.107,0.134,0.81,0.16,0,"y"
152,0,0.124,2.45,0,0,"y"
165,0,0,0,0,0.97,"n"
89,0,0,0,0,0,"n"
394,0,0.062,0,0,0,"n"
195,0,0,0,0,0,"n"
429,0.828,0.677,0,0.24,0.24,"y"
74,0,3.333,0,0,0,"y"
54,0,0,0,0,0,"n"
66,0.212,0.424,0,0,0,"y"
99,0,0.123,0.38,0,0,"y"
234,0,0.103,0.65,0,0,"y"
400,0.127,0.204,0.44,0,0.14,"y"
121,0,0.926,0,0,0,"y"
9,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
82,0,1.55,0,0,0,"y"
7,0,0,0,0,0,"n"
348,0,0,0,0,0,"n"
145,0,0,0,0,0,"y"
31,1.219,0,0,0,0,"y"
445,0,0.199,0,0,0,"y"
224,0,0.041,0,0,0,"n"
4,0,0,0,0,0,"n"
339,0,0.034,0,0,0,"y"
85,0,0,0,0,0,"n"
69,0.105,0,0,0,0,"n"
27,0,0,0,0,0,"n"
227,0,0,0,0,0.24,"n"
151,0,0.121,0,0,0,"y"
196,0,0.638,0,0.55,0.27,"y"
55,0,0,0,0,0,"n"
173,0,0,0,0,0,"n"
139,0,0,0,0,0,"y"
38,0,0,0,0,0.62,"n"
373,0,0.487,0,0,0,"y"
1655,0.066,0.232,0,0,0,"y"
6,0,1.739,0,0,0,"n"
30,0,0,0,0,0,"y"
1200,0.784,0.764,0,0,0,"y"
35,0,0.159,0,0,2.32,"n"
814,0.222,0.412,0.29,0.09,0.19,"y"
42,0,0,0,0,0,"y"
358,0,0,0,0,0,"n"
